state	pathogen	test_result	state_code	country	2021-11-06	2021-11-13	2021-11-20	2021-11-27	2021-12-04	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26
Mato Grosso	SC2	Pos	MT	Brazil									0.2206572770	0.3959183673	0.5170807453	0.5694010103	0.5951401869	0.5162639405	0.4004576659	0.2849223947	0.1845070423	0.1296660118	0.0853174603	0.0232558140	0.0137741047	0.0147058824	0.0065146580	0.0169971671	0.0166666667	0.0313725490	0.0955056180	0.1522491349	0.1947565543	0.2447552448	0.2975517891	0.3048620237	0.3483606557	0.3439153439	0.3662109375	0.3519736842	0.3358395990	0.3175542406	0.3061224490	0.2310469314	0.1120000000	0.1304347826	0.0528634361	0.0104712042	0.0124223602	0.0344827586	0.0000000000	0.0000000000		0.0125000000	0.0294117647	0.0098039216		0.0377358491	0.1189189189	0.2188552189	0.2447368421	0.4775784753	0.3902439024	0.3975659229	0.3990267640	0.2591240876	0.2572815534	0.2040816327	0.0878378378	0.0396825397	0.0800000000	0.0634920635	0.0714285714	0.0329670330	0.0562500000	0.0724637681	0.0451977401	0.0414507772	0.0737327189	0.0575539568	0.0588235294	0.0979020979	0.0813953488	0.0830039526	0.1027397260	0.1071428571	0.1402714932	0.1346153846	0.1612903226	0.0986842105	0.1698113208	0.1085271318	0.0964912281	0.0769230769	0.0410958904	0.1000000000	0.1060606061	0.1363636364	
Mato Grosso	VSR	Pos	MT	Brazil												0.0004604052	0.0000000000	0.0000000000	0.0000000000	0.0105263158	0.0171428571	0.0470588235	0.0344827586	0.0508474576		0.0307692308																																																																									
Mato Grosso do Sul	ADENO	Pos	MS	Brazil																																																																																															
Mato Grosso do Sul	BAC	Pos	MS	Brazil																																																																																															
Mato Grosso do Sul	BOCA	Pos	MS	Brazil																																																																																															
Mato Grosso do Sul	COVS	Pos	MS	Brazil																																																																																															
Mato Grosso do Sul	ENTERO	Pos	MS	Brazil																																																																																															
Mato Grosso do Sul	FLUA	Pos	MS	Brazil												0.1122112211	0.0502392344	0.0113207547	0.0131578947	0.0000000000																																																																															
Mato Grosso do Sul	FLUB	Pos	MS	Brazil												0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000																																																																															
Mato Grosso do Sul	META	Pos	MS	Brazil																																																																																															
Mato Grosso do Sul	PARA	Pos	MS	Brazil																																																																																															
Mato Grosso do Sul	RINO	Pos	MS	Brazil																																																																																															
Mato Grosso do Sul	SC2	Pos	MS	Brazil						0.0363636364		0.0333333333	0.0508474576	0.2976939203	0.4369501466	0.5596153846	0.6129905277	0.6034188034	0.5070422535	0.3348416290	0.2446043165	0.0919540230	0.1052631579	0.0555555556	0.0256410256	0.0303030303		0.1111111111	0.0517241379	0.0303030303	0.1267605634	0.1204819277	0.1981132075	0.3263157895	0.2727272727	0.3730569948	0.3625000000	0.4797687861	0.3850267380	0.4193548387	0.3496503497	0.3604651163	0.3855421687	0.2941176471	0.2063492063	0.2452830189	0.1969696970			0.0925925926									0.3636363636	0.2407407407	0.3278688525	0.5072463768	0.3559322034	0.5068493151																																			
Mato Grosso do Sul	VSR	Pos	MS	Brazil												0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000																																																																															
Minas Gerais	ADENO	Pos	MG	Brazil																																																																																															
Minas Gerais	BAC	Pos	MG	Brazil																																																																																															
Minas Gerais	BOCA	Pos	MG	Brazil																																																																																															
Minas Gerais	COVS	Pos	MG	Brazil																																																																																															
Minas Gerais	ENTERO	Pos	MG	Brazil																																																																																															
