CD_MUN,CD_UF,SIGLA_UF,NM_UF,NM_UF_NORM,NM_MUN,NM_MUN_NORM,REGIAO,lat,long
1300805,13,AM,Amazonas,AMAZONAS,Borba,BORBA,NORTE,-4.9576174349861155,-59.53469392843407
1300839,13,AM,Amazonas,AMAZONAS,Caapiranga,CAAPIRANGA,NORTE,-3.082018997536048,-61.8777578071592
1300904,13,AM,Amazonas,AMAZONAS,Canutama,CANUTAMA,NORTE,-7.300758099954499,-64.06190340932076
1301001,13,AM,Amazonas,AMAZONAS,Carauari,CARAUARI,NORTE,-5.11851648848198,-67.3374716380764
1301100,13,AM,Amazonas,AMAZONAS,Careiro,CAREIRO,NORTE,-3.770484298743962,-60.18327327093985
1301159,13,AM,Amazonas,AMAZONAS,Careiro da Várzea,CAREIRO DA VARZEA,NORTE,-3.2860120498465175,-59.59867699611914
1301209,13,AM,Amazonas,AMAZONAS,Coari,COARI,NORTE,-4.436351417343804,-64.12531064640508
1301308,13,AM,Amazonas,AMAZONAS,Codajás,CODAJAS,NORTE,-3.2889719656745537,-62.97331502440762
1301407,13,AM,Amazonas,AMAZONAS,Eirunepé,EIRUNEPE,NORTE,-7.021998047216979,-70.21824815279244
1301506,13,AM,Amazonas,AMAZONAS,Envira,ENVIRA,NORTE,-7.573304190469436,-70.05508588916071
1301605,13,AM,Amazonas,AMAZONAS,Fonte Boa,FONTE BOA,NORTE,-2.4909855406731443,-66.3579242147065
1301654,13,AM,Amazonas,AMAZONAS,Guajará,GUAJARA,NORTE,-7.229780929524515,-72.84458794980841
1301704,13,AM,Amazonas,AMAZONAS,Humaitá,HUMAITA,NORTE,-7.36121752764476,-62.48643557568531
1301803,13,AM,Amazonas,AMAZONAS,Ipixuna,IPIXUNA,NORTE,-7.1805115792357395,-71.41286686774374
1301852,13,AM,Amazonas,AMAZONAS,Iranduba,IRANDUBA,NORTE,-3.095218725331638,-60.4796872188968
1301902,13,AM,Amazonas,AMAZONAS,Itacoatiara,ITACOATIARA,NORTE,-3.174123473243175,-58.77534279766608
1301951,13,AM,Amazonas,AMAZONAS,Itamarati,ITAMARATI,NORTE,-6.6828222402271,-68.11284121510297
1302009,13,AM,Amazonas,AMAZONAS,Itapiranga,ITAPIRANGA,NORTE,-2.4972374433043902,-58.61326833892238
1302108,13,AM,Amazonas,AMAZONAS,Japurá,JAPURA,NORTE,-1.6970807098089586,-68.32111769599372
1302207,13,AM,Amazonas,AMAZONAS,Juruá,JURUA,NORTE,-3.524464207475711,-66.30779918675339
1302306,13,AM,Amazonas,AMAZONAS,Jutaí,JUTAI,NORTE,-4.7152908524276285,-68.40630448524192
1302405,13,AM,Amazonas,AMAZONAS,Lábrea,LABREA,NORTE,-8.375601480388989,-65.81166286106033
1302504,13,AM,Amazonas,AMAZONAS,Manacapuru,MANACAPURU,NORTE,-3.2915381685717264,-60.9587578018521
1302553,13,AM,Amazonas,AMAZONAS,Manaquiri,MANAQUIRI,NORTE,-3.7790507406852427,-60.697266062493185
1302603,13,AM,Amazonas,AMAZONAS,Manaus,MANAUS,NORTE,-2.625919382624245,-60.25962801421486
1302702,13,AM,Amazonas,AMAZONAS,Manicoré,MANICORE,NORTE,-6.459960113056875,-61.44677326569856
1302801,13,AM,Amazonas,AMAZONAS,Maraã,MARAA,NORTE,-2.4268286433243027,-65.03955122909346
1302900,13,AM,Amazonas,AMAZONAS,Maués,MAUES,NORTE,-4.984780950208547,-58.060922849253835
1303007,13,AM,Amazonas,AMAZONAS,Nhamundá,NHAMUNDA,NORTE,-1.6805857923075784,-57.65624541348651
1303106,13,AM,Amazonas,AMAZONAS,Nova Olinda do Norte,NOVA OLINDA DO NORTE,NORTE,-3.9895028216511568,-58.59976987094208
1303205,13,AM,Amazonas,AMAZONAS,Novo Airão,NOVO AIRAO,NORTE,-2.048245987590205,-61.70342029444874
1303304,13,AM,Amazonas,AMAZONAS,Novo Aripuanã,NOVO ARIPUANA,NORTE,-6.824012901575674,-60.47715479948319
1303403,13,AM,Amazonas,AMAZONAS,Parintins,PARINTINS,NORTE,-2.688097965999019,-56.85464486626843
1303502,13,AM,Amazonas,AMAZONAS,Pauini,PAUINI,NORTE,-7.757805439776877,-68.19714094780021
1303536,13,AM,Amazonas,AMAZONAS,Presidente Figueiredo,PRESIDENTE FIGUEIREDO,NORTE,-1.3709195820204636,-59.989552767548574
1303569,13,AM,Amazonas,AMAZONAS,Rio Preto da Eva,RIO PRETO DA EVA,NORTE,-2.5298229254857656,-59.638380419871794
1303601,13,AM,Amazonas,AMAZONAS,Santa Isabel do Rio Negro,SANTA ISABEL DO RIO NEGRO,NORTE,-0.31836399969908946,-65.52132858040412
1303700,13,AM,Amazonas,AMAZONAS,Santo Antônio do Içá,SANTO ANTONIO DO ICA,NORTE,-3.052907718943958,-69.0893525802269
1303809,13,AM,Amazonas,AMAZONAS,São Gabriel da Cachoeira,SAO GABRIEL DA CACHOEIRA,NORTE,0.3744770705477498,-67.99706248616077
1303908,13,AM,Amazonas,AMAZONAS,São Paulo de Olivença,SAO PAULO DE OLIVENCA,NORTE,-4.501436484946642,-69.45111858637381
1303957,13,AM,Amazonas,AMAZONAS,São Sebastião do Uatumã,SAO SEBASTIAO DO UATUMA,NORTE,-1.9417623500804226,-58.70526097875074
1304005,13,AM,Amazonas,AMAZONAS,Silves,SILVES,NORTE,-2.820549321231465,-58.537087354832906
1304062,13,AM,Amazonas,AMAZONAS,Tabatinga,TABATINGA,NORTE,-4.028249697324346,-69.67762502510641
1304104,13,AM,Amazonas,AMAZONAS,Tapauá,TAPAUA,NORTE,-6.093701966659891,-64.95579642177157
1304203,13,AM,Amazonas,AMAZONAS,Tefé,TEFE,NORTE,-4.470110667399924,-65.53153604445829
1304237,13,AM,Amazonas,AMAZONAS,Tonantins,TONANTINS,NORTE,-2.6918091718556303,-67.82604943350061
1304260,13,AM,Amazonas,AMAZONAS,Uarini,UARINI,NORTE,-3.165655863541736,-65.41078966382038
1304302,13,AM,Amazonas,AMAZONAS,Urucará,URUCARA,NORTE,-0.8943904083275621,-59.02958765220062
1304401,13,AM,Amazonas,AMAZONAS,Urucurituba,URUCURITUBA,NORTE,-2.813757323531488,-57.77131013924437
1400027,14,RR,Roraima,RORAIMA,Amajari,AMAJARI,NORTE,3.7329020369582975,-62.43702176274251
1400050,14,RR,Roraima,RORAIMA,Alto Alegre,ALTO ALEGRE,NORTE,3.072100355967317,-62.74236800501164
1400100,14,RR,Roraima,RORAIMA,Boa Vista,BOA VISTA,NORTE,3.1179150009891963,-60.71795308500435
1400159,14,RR,Roraima,RORAIMA,Bonfim,BONFIM,NORTE,2.7876623297486662,-60.10061132291453
1400175,14,RR,Roraima,RORAIMA,Cantá,CANTA,NORTE,2.272836718046951,-60.54228497044258
1400209,14,RR,Roraima,RORAIMA,Caracaraí,CARACARAI,NORTE,0.9907342091686845,-61.47156262982608
1400233,14,RR,Roraima,RORAIMA,Caroebe,CAROEBE,NORTE,0.9146902873917317,-59.33814403201764
