pathogen	state	state_code	country	test_result	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
SC2	Amazonas	AP	Brazil	1.0	7	16	18	85	572	1770	1897	1003	433	154	164	141	68	114	107	96	51	138	54	30	40	34	52	46	38	52	76	67	202	239	403	280	324	161	67	80	54	38	63	27	25	17	15	0	42	73	96	20	15	42	34	29	29	7	0	2	0	1	0	0	0
SC2	Roraima	MA	Brazil	1.0	0	0	0	0	0	5	0	18	30	11	15	6	1	0	1	1	3	1	1	4	0	0	1	1	1	0	2	2	9	8	7	7	5	3	2	3	0	1	3	0	2	2	0	1	0	1	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0
SC2	Alagoas	AP	Brazil	1.0	0	0	1	19	167	170	1	2	12	2	6	4	0	2	0	1	3	2	0	2	1	5	3	4	1	0	2	5	5	36	33	27	23	9	6	0	6	2	7	5	5	4	4	4	4	3	0	0	4	4	17	18	13	15	0	0	2	4	2	2	0
SC2	Pernambuco	AP	Brazil	1.0	18	36	32	119	94	78	7	610	391	5	7	3	2	3	7	10	10	7	4	8	11	11	26	9	17	10	13	18	6	1564	1050	763	581	498	544	31	506	592	377	269	312	308	313	308	238	285	261	320	928	1206	1139	524	131	104	16	0	290	346	259	249	32
SC2	Mato Grosso	AP	Brazil	1.0	275	436	447	912	2800	4170	4500	2636	2111	1274	880	699	502	482	417	349	335	293	345	227	249	170	269	255	412	522	740	721	929	995	900	793	490	290	270	242	200	226	182	156	167	152	131	13	78	100	97	19	50	177	281	361	422	119	0	25	28	21	18	15	0
SC2	Sergipe	AP	Brazil	1.0	1	0	0	5	33	65	0	40	115	3	10	4	2	0	3	1	1	1	1	1	5	3	8	8	4	3	8	11	7	46	39	26	11	6	11	2	8	6	5	7	4	7	3	5	7	4	1	3	6	10	23	24	9	12	1	0	4	0	1	0	0
SC2	Ceará	AP	Brazil	1.0	2	2	1	86	300	232	0	11	5	2	0	2	0	2	0	0	3	1	2	3	1	4	1	5	2	2	1	1	2	155	187	126	53	43	20	3	14	26	11	18	16	15	14	13	14	8	9	4	12	58	175	146	51	34	5	0	12	13	3	7	0
SC2	Espírito Santo	AP	Brazil	1.0	112	84	88	105	103	114	257	250	137	46	47	17	27	34	34	36	24	9	26	49	72	90	74	106	95	20	301	169	405	484	450	356	161	137	133	68	9	13	48	15	50	26	18	24	18	27	31	11	15	62	50	50	42	30	3	2	78	48	6	4	0
SC2	São Paulo	AP	Brazil	1.0	2759	3468	3507	6636	21679	17785	13149	5630	5577	4560	7270	2177	1478	1753	1322	6811	7563	8043	7241	6355	9058	9165	9725	11506	13715	15531	14213	8192	7428	6239	9710	10254	7447	4820	4607	4288	4816	4378	3948	3231	3659	3854	3454	3183	1920	2654	3001	527	1581	1643	2054	1389	1173	920	53	103	757	2005	1718	1914	1
SC2	Rio Grande do Norte	AP	Brazil	1.0	1	20	3	2	4	32	1	57	230	2	10	0	0	0	0	27	37	27	8	11	14	11	9	6	3	2	6	11	3	38	21	22	12	12	8	1	13	7	1	7	8	3	5	4	0	1	4	2	3	25	42	40	26	20	1	0	1	3	4	0	0
SC2	Distrito Federal	AP	Brazil	1.0	210	282	295	1970	19427	24143	20303	23196	21133	14300	9283	6598	4591	4615	3487	3142	3005	2436	2351	2017	2543	2559	3519	4049	7219	15170	21860	16942	14879	9283	5450	3824	2711	2325	2047	2206	1784	1754	1691	1547	1816	1190	955	53	782	988	837	208	536	3259	5211	5849	6647	569	2	76	67	70	47	54	0
SC2	Paraná	AP	Brazil	1.0	9	5	48	55	255	291	31	24	52	138	37	50	44	53	35	37	25	27	19	32	55	84	88	98	97	86	124	110	119	2554	2600	2167	1560	1252	1110	144	1131	999	907	564	613	548	518	562	400	436	482	336	814	1435	1834	1617	1478	1037	19	1	424	304	225	169	32
SC2	Rio de Janeiro	AP	Brazil	1.0	11009	3941	6723	9159	11544	4734	9695	9166	4040	1132	858	2042	634	1785	3260	2948	2833	1675	1515	1701	2502	1836	1515	1432	1336	806	2786	2010	1626	1262	3913	4859	2546	2190	1590	1395	385	114	528	508	883	901	300	698	612	802	837	139	480	432	584	376	243	183	6	10	636	758	597	640	0
SC2	Maranhão	AP	Brazil	1.0	18	15	9	56	1044	934	341	265	257	147	117	84	47	47	21	25	22	42	22	16	27	42	53	47	59	83	66	23	44	55	61	40	29	12	16	19	12	22	15	9	14	2	5	2	3	3	17	2	6	22	21	21	13	5	2	0	1	5	1	2	0
SC2	Rio Grande do Sul	AP	Brazil	1.0	4	4	1	17	67	163	2	1	2	3	1	3	0	1	3	6	6	9	6	14	15	11	9	16	23	13	9	8	11	149	145	123	119	116	76	3	71	70	58	60	70	27	42	19	39	14	54	14	40	40	36	39	72	73	0	0	46	18	13	14	0
SC2	Acre	AP	Brazil	1.0	1	0	4	1	1	3	2	0	0	0	3	0	1	0	0	0	0	0	0	1	1	2	2	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SC2	Paraíba	AP	Brazil	1.0	1	0	2	52	98	67	0	208	207	2	9	5	0	2	1	1	3	1	0	1	2	2	1	2	1	2	3	0	1	1187	911	472	380	283	217	3	176	192	112	76	102	79	88	59	62	89	70	80	841	1590	1126	400	187	186	1	0	87	97	67	63	4
SC2	Amapá	AP	Brazil	1.0	4	5	9	36	25	11	1	0	9	10	4	2	0	1	0	0	1	3	2	2	1	3	1	1	1	0	2	1	1	1	5	0	3	1	1	1	2	1	1	0	0	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
SC2	Bahia	AP	Brazil	1.0	75	46	90	182	2758	3248	2776	2926	1844	1005	623	505	366	331	289	203	286	195	148	118	176	177	166	123	126	225	469	456	373	629	610	449	325	225	166	161	180	163	110	99	108	95	65	16	44	68	39	18	43	320	728	599	269	96	5	0	13	22	15	16	2
SC2	Tocantins	AP	Brazil	1.0	12	12	13	27	399	624	597	569	413	293	214	187	98	86	54	70	66	59	27	30	47	47	46	47	56	81	163	77	154	129	96	76	54	47	34	36	23	25	10	12	18	10	11	0	6	12	12	0	3	30	41	66	101	9	0	1	0	0	0	0	0
RINO	Pará	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Piauí	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Santa Catarina	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Rondônia	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Minas Gerais	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Goiás	AP	Brazil	1.0	0	0	0	35	347	342	158	131	66	54	50	62	46	25	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	12	0
RINO	Mato Grosso do Sul	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Amazonas	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Roraima	MA	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Alagoas	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Pernambuco	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Mato Grosso	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Sergipe	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Ceará	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Espírito Santo	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	São Paulo	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Rio Grande do Norte	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Distrito Federal	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RINO	Paraná	AP	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
