state	pathogen	test_result	state_code	country	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
Sergipe	SC2	1	MA	Brazil	0	0	0	0	5	12	0	31	89	2	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21	21	5	2	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	14	11	4	4	0	0	0	0	0	0	0
Sergipe	SC2	0	MA	Brazil	1	0	0	5	28	53	0	9	26	1	5	4	2	0	3	1	1	1	1	1	4	3	8	8	4	3	8	11	7	25	18	21	9	4	8	2	8	5	5	7	4	7	3	5	7	4	1	3	6	4	9	13	5	8	1	0	4	0	1	0	0
Sergipe	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio Grande do Sul	SC2	1	MA	Brazil	0	0	0	0	29	51	0	1	1	2	0	0	0	0	0	0	0	1	0	1	1	0	1	4	6	3	2	1	4	22	33	22	19	28	16	0	12	6	6	3	1	1	0	0	1	1	0	0	5	5	5	10	28	32	0	0	10	4	2	2	0
Rio Grande do Sul	SC2	0	MA	Brazil	4	4	1	17	38	112	2	0	1	1	1	3	0	1	3	6	6	8	6	13	14	11	8	12	17	10	7	7	7	127	112	101	100	88	60	3	59	64	52	57	69	26	42	19	38	13	54	14	35	35	31	29	44	41	0	0	36	14	11	12	0
Rio Grande do Sul	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
São Paulo	SC2	0	MA	Brazil	2685	3359	3233	5301	12794	9394	5580	2363	2742	2375	4999	1651	1287	1571	1256	6544	7186	7492	6609	5662	7744	7389	7360	8080	8839	9581	8247	4475	4139	3715	6356	7105	5805	3905	4003	3870	4502	4171	3816	3146	3549	3758	3357	3076	1833	2364	2410	388	1035	996	1349	952	842	675	33	1	598	1627	1426	1598	1
Amazonas	SC2	1	MA	Brazil	0	0	2	4	120	1025	1412	671	184	24	15	5	2	7	1	1	0	2	3	0	1	1	1	4	4	10	15	13	65	93	111	129	100	44	11	11	2	3	5	1	1	0	0	0	18	41	49	11	5	10	6	5	2	3	0	0	0	0	0	0	0
Amazonas	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pernambuco	SC2	1	MA	Brazil	0	2	1	3	16	12	5	412	215	3	3	0	0	0	1	1	0	0	0	2	1	0	8	2	3	2	3	5	4	674	327	155	107	70	51	1	27	12	10	2	1	2	4	3	3	11	27	75	401	545	392	133	22	10	5	0	8	8	2	2	0
Pernambuco	SC2	0	MA	Brazil	18	34	31	116	78	66	2	198	176	2	4	3	2	3	6	9	10	7	4	6	10	11	18	7	14	8	10	13	2	890	723	608	474	428	493	30	479	580	367	267	311	306	309	305	235	274	234	245	527	661	747	391	109	94	11	0	282	338	257	247	32
Pernambuco	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
