name	pathogen	test_result	epiweek	0-4	19-29	29-39	39-49	4-9	49-59	59-69	69-79	80+	9-19
Brasil	FLUA	Pos	2022-02-05	6	28	29	20	14	8	4	6	1	10
Brasil	SC2	Neg	2022-02-05	194	663	875	720	174	405	252	160	84	262
Brasil	ADENO	Neg	2022-02-05	18	13	4	2	17	4	2	6	5	14
Brasil	ENTERO	Neg	2022-02-05	10	12	4	2	10	4	3	7	5	4
Brasil	BAC	Pos	2022-02-05	0	0	0	0	0	0	0	0	0	0
Brasil	COVS	Pos	2022-02-05	0	0	0	0	0	0	0	0	0	0
Brasil	BOCA	Pos	2022-02-05	2	0	0	0	0	0	0	0	0	0
Brasil	PARA	Neg	2022-02-05	21	13	4	2	19	4	3	7	5	14
Brasil	ENTERO	Pos	2022-02-05	0	1	0	0	0	0	0	0	0	0
Brasil	FLUA	Neg	2022-02-05	363	1348	1951	1666	356	966	537	331	195	599
Brasil	VSR	Pos	2022-02-05	34	3	1	1	9	3	3	2	0	1
Brasil	COVS	Neg	2022-02-05	22	13	4	2	19	4	3	7	5	14
Brasil	FLUB	Pos	2022-02-05	0	0	0	0	0	0	0	1	0	0
Brasil	FLUB	Neg	2022-02-05	217	1365	1965	1647	299	959	527	324	169	568
Brasil	PARA	Pos	2022-02-05	1	0	0	0	0	0	0	0	0	0
Brasil	RINO	Pos	2022-02-05	2	0	0	0	1	0	0	0	0	1
Brasil	BAC	Neg	2022-02-05	22	13	4	2	19	4	3	7	5	14
Brasil	BAC	Neg	2022-02-12	32	8	4	1	11	4	1	3	2	12
Brasil	ADENO	Neg	2022-02-12	31	8	4	1	11	4	1	3	2	12
Brasil	PARA	Pos	2022-02-12	0	0	0	0	2	0	0	0	0	0
Brasil	FLUB	Pos	2022-02-12	1	0	0	0	0	0	0	0	0	0
Brasil	META	Pos	2022-02-12	3	0	0	0	0	0	0	0	0	0
Brasil	BOCA	Pos	2022-02-12	1	0	0	0	0	0	0	0	0	0
Brasil	COVS	Pos	2022-02-12	0	0	0	0	0	0	0	0	0	0
Brasil	ADENO	Pos	2022-02-12	1	0	0	0	0	0	0	0	0	0
Brasil	ENTERO	Neg	2022-02-12	14	8	4	1	3	4	1	3	2	6
Brasil	RINO	Pos	2022-02-12	8	0	0	0	3	0	0	0	0	1
Brasil	SC2	Neg	2022-02-12	220	580	672	524	157	332	207	120	72	246
Brasil	ENTERO	Pos	2022-02-12	1	0	0	0	0	0	0	0	0	0
Brasil	COVS	Neg	2022-02-12	32	8	4	1	11	4	1	3	2	12
Brasil	BAC	Pos	2022-02-12	0	0	0	0	0	0	0	0	0	0
Brasil	META	Neg	2022-02-12	29	8	4	1	11	4	1	3	2	12
Brasil	FLUB	Neg	2022-02-12	181	1009	1276	1047	190	642	406	214	127	444
Brasil	FLUA	Pos	2022-02-12	3	12	16	3	8	3	3	3	2	11
Brasil	RINO	Neg	2022-02-12	24	8	4	1	8	4	1	3	2	11
Brasil	VSR	Pos	2022-02-12	43	6	5	3	7	1	2	3	0	5
Brasil	VSR	Neg	2022-02-12	278	1007	1292	1072	270	653	415	226	139	469
Brasil	PARA	Neg	2022-02-12	32	8	4	1	9	4	1	3	2	12
Brasil	BOCA	Neg	2022-02-12	14	8	4	1	3	4	1	3	2	6
Brasil	FLUA	Neg	2022-02-12	318	1001	1281	1072	269	651	414	226	137	463
Brasil	SC2	Pos	2022-02-12	99	433	625	551	119	322	210	109	67	228
Brasil	ENTERO	Neg	2022-02-19	13	2	5	5	1	2	0	2	3	2
Brasil	RINO	Neg	2022-02-19	18	2	5	6	6	2	0	2	3	7
Brasil	META	Pos	2022-02-19	2	0	0	0	0	0	0	0	0	0
Brasil	SC2	Pos	2022-02-19	79	188	321	227	80	150	98	57	41	138
Brasil	VSR	Neg	2022-02-19	369	562	814	626	293	381	233	135	95	328
Brasil	PARA	Pos	2022-02-19	2	0	0	0	0	0	0	0	0	0
Brasil	ADENO	Pos	2022-02-19	4	0	0	0	0	0	0	0	0	0
Brasil	BAC	Neg	2022-02-19	47	2	5	6	13	2	0	2	3	7
Brasil	ENTERO	Pos	2022-02-19	1	0	0	1	0	0	0	0	0	0
Brasil	COVS	Neg	2022-02-19	47	2	5	6	13	2	0	2	3	7
Brasil	FLUA	Neg	2022-02-19	411	558	816	622	302	382	237	136	98	330
Brasil	COVS	Pos	2022-02-19	0	0	0	0	0	0	0	0	0	0
Brasil	SC2	Neg	2022-02-19	332	377	500	399	225	233	139	78	57	196
Brasil	BOCA	Pos	2022-02-19	0	0	1	0	0	0	0	0	0	0
Brasil	PARA	Neg	2022-02-19	45	2	5	6	13	2	0	2	3	7
Brasil	META	Neg	2022-02-19	45	2	5	6	13	2	0	2	3	7
Brasil	ADENO	Neg	2022-02-19	43	2	5	6	13	2	0	2	3	7
Brasil	FLUB	Pos	2022-02-19	0	0	0	0	0	0	0	0	0	0
Brasil	VSR	Pos	2022-02-19	43	3	7	2	13	2	5	2	3	6
Brasil	BOCA	Neg	2022-02-19	14	2	4	6	1	2	0	2	3	2
Brasil	FLUA	Pos	2022-02-19	1	7	5	6	4	1	1	1	0	4
Brasil	RINO	Pos	2022-02-19	29	0	0	0	7	0	0	0	0	0
Brasil	BAC	Pos	2022-02-19	0	0	0	0	0	0	0	0	0	0
Brasil	FLUB	Neg	2022-02-19	237	564	798	588	176	374	223	120	83	275
Brasil	BOCA	Neg	2022-02-26	19	1	3	2	5	0	3	2	2	2
Brasil	ADENO	Neg	2022-02-26	60	1	5	2	13	0	3	2	2	9
Brasil	COVS	Pos	2022-02-26	0	0	0	0	0	0	0	0	0	0
Brasil	FLUB	Pos	2022-02-26	0	1	1	0	0	0	0	0	0	0
Brasil	FLUA	Neg	2022-02-26	508	426	544	421	317	240	175	122	84	330
Brasil	FLUA	Pos	2022-02-26	2	4	4	3	2	1	0	1	0	6
Brasil	BOCA	Pos	2022-02-26	4	0	2	0	0	0	0	0	0	0
Brasil	SC2	Pos	2022-02-26	46	71	129	98	53	64	35	31	19	74
Brasil	RINO	Neg	2022-02-26	27	1	4	2	7	0	3	2	2	5
Brasil	ENTERO	Neg	2022-02-26	20	1	5	2	5	0	3	2	2	2
Brasil	BAC	Neg	2022-02-26	60	1	5	2	13	0	3	2	2	9
Brasil	ADENO	Pos	2022-02-26	0	0	0	0	0	0	0	0	0	0
Brasil	PARA	Neg	2022-02-26	58	1	5	2	12	0	3	2	2	9
Brasil	META	Pos	2022-02-26	2	0	0	0	0	0	0	0	0	0
Brasil	COVS	Neg	2022-02-26	60	1	5	2	13	0	3	2	2	9
Brasil	RINO	Pos	2022-02-26	33	0	1	0	6	0	0	0	0	4
Brasil	BAC	Pos	2022-02-26	0	0	0	0	0	0	0	0	0	0
Brasil	PARA	Pos	2022-02-26	2	0	0	0	1	0	0	0	0	0
Brasil	VSR	Neg	2022-02-26	456	427	541	418	305	241	173	123	83	330
Brasil	FLUB	Neg	2022-02-26	298	424	527	390	167	226	158	115	74	260
Brasil	ENTERO	Pos	2022-02-26	3	0	0	0	0	0	0	0	0	0
Brasil	SC2	Neg	2022-02-26	462	359	419	325	264	177	140	92	65	261
Brasil	META	Neg	2022-02-26	58	1	5	2	13	0	3	2	2	9
Brasil	VSR	Pos	2022-02-26	54	3	7	6	14	0	2	0	1	6
Brasil	BOCA	Neg	2022-03-05	12	2	0	0	2	1	1	1	3	3
Brasil	VSR	Neg	2022-03-05	309	220	247	189	189	113	79	65	62	144
Brasil	FLUA	Neg	2022-03-05	387	219	251	190	192	116	81	66	63	148
Brasil	COVS	Neg	2022-03-05	42	3	0	0	15	1	2	2	3	11
Brasil	BAC	Neg	2022-03-05	42	3	0	0	15	1	2	2	3	11
Brasil	RINO	Neg	2022-03-05	20	3	0	0	11	1	2	2	3	8
Brasil	FLUB	Pos	2022-03-05	0	0	0	0	0	0	0	0	0	0
Brasil	COVS	Pos	2022-03-05	0	0	0	0	0	0	0	0	0	0
Brasil	ENTERO	Neg	2022-03-05	14	3	0	0	4	1	2	2	3	3
Brasil	SC2	Pos	2022-03-05	17	25	38	28	12	11	9	8	14	21
Brasil	BAC	Pos	2022-03-05	0	0	0	0	0	0	0	0	0	0
Brasil	META	Pos	2022-03-05	3	0	0	0	0	0	0	0	0	0
Brasil	VSR	Pos	2022-03-05	78	0	6	2	6	3	3	1	1	6
Brasil	ADENO	Pos	2022-03-05	1	0	0	0	1	0	0	0	0	0
Brasil	ENTERO	Pos	2022-03-05	0	0	0	0	1	0	0	0	0	0
Brasil	PARA	Neg	2022-03-05	41	2	0	0	14	1	2	2	3	11
Brasil	FLUB	Neg	2022-03-05	256	213	244	167	104	103	73	55	48	103
Brasil	FLUA	Pos	2022-03-05	0	1	2	1	3	0	1	0	0	2
Brasil	RINO	Pos	2022-03-05	22	0	0	0	4	0	0	0	0	3
Brasil	PARA	Pos	2022-03-05	1	1	0	0	1	0	0	0	0	0
Brasil	SC2	Neg	2022-03-05	368	195	215	163	180	105	73	57	49	128
Brasil	META	Neg	2022-03-05	39	3	0	0	15	1	2	2	3	11
Brasil	BOCA	Pos	2022-03-05	2	1	0	0	3	0	1	1	0	0
Brasil	ADENO	Neg	2022-03-05	41	3	0	0	14	1	2	2	3	11
Brasil	FLUA	Pos	2022-03-12	0	0	1	5	4	2	1	1	0	1
Brasil	RINO	Neg	2022-03-12	21	3	0	2	5	2	1	0	1	3
Brasil	RINO	Pos	2022-03-12	16	1	0	0	8	0	0	0	0	3
Brasil	ENTERO	Pos	2022-03-12	1	0	0	0	0	0	0	0	0	0
Brasil	VSR	Neg	2022-03-12	353	232	357	275	204	137	120	86	67	211
Brasil	PARA	Pos	2022-03-12	2	1	0	0	0	0	0	0	0	0
Brasil	SC2	Pos	2022-03-12	19	22	34	38	12	17	20	4	5	20
Brasil	FLUB	Neg	2022-03-12	273	225	325	240	125	134	113	63	51	158
Brasil	ADENO	Neg	2022-03-12	36	4	0	2	13	2	1	0	1	6
Brasil	BAC	Neg	2022-03-12	37	4	0	2	13	2	1	0	1	6
Brasil	COVS	Neg	2022-03-12	37	4	0	2	13	2	1	0	1	6
Brasil	VSR	Pos	2022-03-12	89	7	3	2	8	4	6	5	4	9
Brasil	PARA	Neg	2022-03-12	35	3	0	2	13	2	1	0	1	6
Brasil	BOCA	Pos	2022-03-12	1	0	0	0	0	1	0	0	1	0
Brasil	BAC	Pos	2022-03-12	0	0	0	0	0	0	0	0	0	0
Brasil	SC2	Neg	2022-03-12	422	217	325	237	198	124	106	86	66	198
Brasil	META	Pos	2022-03-12	4	0	0	0	0	0	0	0	0	0
Brasil	META	Neg	2022-03-12	33	4	0	2	13	2	1	0	1	6
Brasil	ADENO	Pos	2022-03-12	1	0	0	0	0	0	0	0	0	0
Brasil	BOCA	Neg	2022-03-12	7	3	0	2	4	1	1	0	0	0
Brasil	FLUB	Pos	2022-03-12	0	0	0	2	0	0	0	1	0	1
Brasil	ENTERO	Neg	2022-03-12	7	3	0	2	4	2	1	0	1	0
Brasil	COVS	Pos	2022-03-12	0	0	0	0	0	0	0	0	0	0
Brasil	FLUA	Neg	2022-03-12	442	239	359	272	208	139	125	90	71	219
Brasil	FLUA	Pos	2022-03-19	1	0	2	3	0	0	0	0	0	1
Brasil	BOCA	Neg	2022-03-19	3	1	1	2	2	0	2	0	0	1
Brasil	SC2	Pos	2022-03-19	5	7	14	11	4	14	10	3	3	12
Brasil	ADENO	Pos	2022-03-19	3	0	0	0	1	0	0	0	0	0
Brasil	FLUA	Neg	2022-03-19	421	217	266	183	192	108	82	53	45	175
Brasil	PARA	Pos	2022-03-19	2	0	0	0	0	0	0	0	0	0
Brasil	SC2	Neg	2022-03-19	416	209	254	175	188	94	72	50	41	165
Brasil	COVS	Neg	2022-03-19	34	2	1	2	8	0	2	0	0	4
Brasil	FLUB	Pos	2022-03-19	0	0	1	0	0	0	1	0	1	0
Brasil	META	Neg	2022-03-19	31	2	1	2	8	0	2	0	0	4
Brasil	ADENO	Neg	2022-03-19	31	2	1	2	7	0	2	0	0	4
